Incoming.Examinations,Year,Month,Cumm.Month
362,2006,1,1
436,2006,2,2
508,2006,3,3
490,2006,4,4
508,2006,5,5
393,2006,6,6
393,2006,7,7
596,2006,8,8
634,2006,9,9
613,2006,10,10
545,2006,11,11
411,2006,12,12
398,2007,1,13
311,2007,2,14
664,2007,3,15
680,2007,4,16
395,2007,5,17
467,2007,6,18
566,2007,7,19
806,2007,8,20
732,2007,9,21
886,2007,10,22
776,2007,11,23
698,2007,12,24
875,2008,1,25
840,2008,2,26
724,2008,3,27
1115,2008,4,28
997,2008,5,29
775,2008,6,30
886,2008,7,31
1041,2008,8,32
1011,2008,9,33
886,2008,10,34
939,2008,11,35
1041,2008,12,36
1004,2009,1,37
1065,2009,2,38
1263,2009,3,39
962,2009,4,40
890,2009,5,41
1429,2009,6,42
1205,2009,7,43
890,2009,8,44
1320,2009,9,45
1276,2009,10,46
1757,2009,11,47
890,2009,12,48
1578,2010,1,49
1604,2010,2,50
1578,2010,3,51
1604,2010,4,52
1758,2010,5,53
1758,2010,6,54
1457,2010,7,55
1607,2010,8,56
1808,2010,9,57
1866,2010,10,58
1934,2010,11,59
2294,2010,12,60
2259,2011,1,61
2334,2011,2,62
1973,2011,3,63
2262,2011,4,64
2259,2011,5,65
2217,2011,6,66
2739,2011,7,67
2772,2011,8,68
3383,2011,9,69
2869,2011,10,70
2239,2011,11,71
3383,2011,12,72
2789,2012,1,73
3455,2012,2,74
2940,2012,3,75
2968,2012,4,76
3466,2012,5,77
3037,2012,6,78
3946,2012,7,79
3459,2012,8,80
3446,2012,9,81
3258,2012,10,82
4729,2012,11,83
3694,2012,12,84
4610,2013,1,85
4841,2013,2,86
5172,2013,3,87
4351,2013,4,88
5179,2013,5,89
4725,2013,6,90
5014,2013,7,91
4978,2013,8,92
5008,2013,9,93
6094,2013,10,94
4874,2013,11,95
5933,2013,12,96
5800,2014,1,97
6135,2014,2,98
6197,2014,3,99
6241,2014,4,100
6547,2014,5,101
6473,2014,6,102
6792,2014,7,103
6885,2014,8,104
7121,2014,9,105
7201,2014,10,106
7436,2014,11,107
7514,2014,12,108
